ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
PG 40:3,828.588038,829.595318,846.621868,851.577258,827.580758,0
PG 40:2,830.603688,831.610968,848.637518,853.592908,829.596408,0
PG 40:1,832.619338,833.626618,850.653168,855.608558,831.612058,0
PG O-41:1,832.655723,833.663003,850.689553,855.644943,831.648443,0
PG 41:7,834.541088,835.548368,852.574918,857.530308,833.533808,0
PG O-42:7,834.577473,835.584753,852.611303,857.566693,833.570193,0
PG 40:0,834.634988,835.642268,852.668818,857.624208,833.627708,0
PG O-41:0,834.671373,835.678653,852.705203,857.660593,833.664093,0
PG 41:6,836.556738,837.564018,854.590568,859.545958,835.549458,0
PG O-42:6,836.593123,837.600403,854.626953,859.582343,835.585843,0
PG 41:5,838.572388,839.579668,856.606218,861.561608,837.565108,0
PG O-42:5,838.608773,839.616053,856.642603,861.597993,837.601493,0
PG 42:11,840.494138,841.501418,858.527968,863.483358,839.486858,0
PG 41:4,840.588038,841.595318,858.621868,863.577258,839.580758,0
PG O-42:4,840.624423,841.631703,858.658253,863.613643,839.617143,0
PG 42:10,842.509788,843.517068,860.543618,865.499008,841.502508,0
PG 41:3,842.603688,843.610968,860.637518,865.592908,841.596408,0
PG O-42:3,842.640073,843.647353,860.673903,865.629293,841.632793,0
PG 42:9,844.525438,845.532718,862.559268,867.514658,843.518158,0
PG 41:2,844.619338,845.626618,862.653168,867.608558,843.612058,0
PG O-42:2,844.655723,845.663003,862.689553,867.644943,843.648443,0
PG 42:8,846.541088,847.548368,864.574918,869.530308,845.533808,0
PG 41:1,846.634988,847.642268,864.668818,869.624208,845.627708,0
PG O-42:1,846.671373,847.678653,864.705203,869.660593,845.664093,0
PG 42:7,848.556738,849.564018,866.590568,871.545958,847.549458,0
PG 41:0,848.650638,849.657918,866.684468,871.639858,847.643358,0
PG O-42:0,848.687023,849.694303,866.720853,871.676243,847.679743,0
PG 42:6,850.572388,851.579668,868.606218,873.561608,849.565108,0
PG 42:5,852.588038,853.595318,870.621868,875.577258,851.580758,0
PG 42:4,854.603688,855.610968,872.637518,877.592908,853.596408,0
PG 42:3,856.619338,857.626618,874.653168,879.608558,855.612058,0
PG 42:2,858.634988,859.642268,876.668818,881.624208,857.627708,0
PG 42:1,860.650638,861.657918,878.684468,883.639858,859.643358,0
PG 42:0,862.666288,863.673568,880.700118,885.655508,861.659008,0
PG 43:6,864.588038,865.595318,882.621868,887.577258,863.580758,0
PG 44:12,866.509788,867.517068,884.543618,889.499008,865.502508,0
PG 43:4,868.619338,869.626618,886.653168,891.608558,867.612058,0
PG 44:10,870.541088,871.548368,888.574918,893.530308,869.533808,0
PG 43:2,872.650638,873.657918,890.684468,895.639858,871.643358,0
PG 44:8,874.572388,875.579668,892.606218,897.561608,873.565108,0
PG 43:1,874.666288,875.673568,892.700118,897.655508,873.659008,0
PG 44:7,876.588038,877.595318,894.621868,899.577258,875.580758,0
PG 43:0,876.681938,877.689218,894.715768,899.671158,875.674658,0
PG 44:6,878.603688,879.610968,896.637518,901.592908,877.596408,0
PG 44:5,880.619338,881.626618,898.653168,903.608558,879.612058,0
PG 44:4,882.634988,883.642268,900.668818,905.624208,881.627708,0
PG 44:3,884.650638,885.657918,902.684468,907.639858,883.643358,0
PG 44:2,886.666288,887.673568,904.700118,909.655508,885.659008,0
PG 44:1,888.681938,889.689218,906.715768,911.671158,887.674658,0
PG 44:0,890.697588,891.704868,908.731418,913.686808,889.690308,0
