ID,mass,MpH,MpNH4,MpNa,MmH,MmHpCHO2
PS 36:0,791.567637,792.574917,809.601467,814.556857,790.560357,0
PS O-37:0,791.604022,792.611302,809.637852,814.593242,790.596742,0
PS 37:6,793.489387,794.496667,811.523217,816.478607,792.482107,0
PS O-38:6,793.525772,794.533052,811.559602,816.514992,792.518492,0
PS 37:5,795.505037,796.512317,813.538867,818.494257,794.497757,0
PS O-38:5,795.541422,796.548702,813.575252,818.530642,794.534142,0
PS 37:4,797.520687,798.527967,815.554517,820.509907,796.513407,0
PS O-38:4,797.557072,798.564352,815.590902,820.546292,796.549792,0
PS 37:3,799.536337,800.543617,817.570167,822.525557,798.529057,0
PS O-38:3,799.572722,800.580002,817.606552,822.561942,798.565442,0
PS 38:9,801.458087,802.465367,819.491917,824.447307,800.450807,0
PS 37:2,801.551987,802.559267,819.585817,824.541207,800.544707,0
PS O-38:2,801.588372,802.595652,819.622202,824.577592,800.581092,0
PS 38:8,803.473737,804.481017,821.507567,826.462957,802.466457,0
PS 37:1,803.567637,804.574917,821.601467,826.556857,802.560357,0
PS O-38:1,803.604022,804.611302,821.637852,826.593242,802.596742,0
PS 38:7,805.489387,806.496667,823.523217,828.478607,804.482107,0
PS 37:0,805.583287,806.590567,823.617117,828.572507,804.576007,0
PS O-38:0,805.619672,806.626952,823.653502,828.608892,804.612392,0
PS 38:6,807.505037,808.512317,825.538867,830.494257,806.497757,0
PS 38:5,809.520687,810.527967,827.554517,832.509907,808.513407,0
PS 38:4,811.536337,812.543617,829.570167,834.525557,810.529057,0
PS 38:3,813.551987,814.559267,831.585817,836.541207,812.544707,0
PS 38:2,815.567637,816.574917,833.601467,838.556857,814.560357,0
PS O-39:2,815.604022,816.611302,833.637852,838.593242,814.596742,0
PS 39:8,817.489387,818.496667,835.523217,840.478607,816.482107,0
PS 38:1,817.583287,818.590567,835.617117,840.572507,816.576007,0
PS O-39:1,817.619672,818.626952,835.653502,840.608892,816.612392,0
PS 39:7,819.505037,820.512317,837.538867,842.494257,818.497757,0
PS O-40:7,819.541422,820.548702,837.575252,842.530642,818.534142,0
PS 38:0,819.598937,820.606217,837.632767,842.588157,818.591657,0
PS O-39:0,819.635322,820.642602,837.669152,842.624542,818.628042,0
PS 39:6,821.520687,822.527967,839.554517,844.509907,820.513407,0
PS O-40:6,821.557072,822.564352,839.590902,844.546292,820.549792,0
PS 39:5,823.536337,824.543617,841.570167,846.525557,822.529057,0
PS O-40:5,823.572722,824.580002,841.606552,846.561942,822.565442,0
PS 39:4,825.551987,826.559267,843.585817,848.541207,824.544707,0
PS O-40:4,825.588372,826.595652,843.622202,848.577592,824.581092,0
PS 40:10,827.473737,828.481017,845.507567,850.462957,826.466457,0
PS 39:3,827.567637,828.574917,845.601467,850.556857,826.560357,0
PS O-40:3,827.604022,828.611302,845.637852,850.593242,826.596742,0
PS 40:9,829.489387,830.496667,847.523217,852.478607,828.482107,0
PS 39:2,829.583287,830.590567,847.617117,852.572507,828.576007,0
PS O-40:2,829.619672,830.626952,847.653502,852.608892,828.612392,0
PS 40:8,831.505037,832.512317,849.538867,854.494257,830.497757,0
PS 39:1,831.598937,832.606217,849.632767,854.588157,830.591657,0
PS O-40:1,831.635322,832.642602,849.669152,854.624542,830.628042,0
PS 40:7,833.520687,834.527967,851.554517,856.509907,832.513407,0
PS 39:0,833.614587,834.621867,851.648417,856.603807,832.607307,0
PS O-40:0,833.650972,834.658252,851.684802,856.640192,832.643692,0
PS 40:6,835.536337,836.543617,853.570167,858.525557,834.529057,0
PS 40:5,837.551987,838.559267,855.585817,860.541207,836.544707,0
PS 40:4,839.567637,840.574917,857.601467,862.556857,838.560357,0
PS 40:3,841.583287,842.590567,859.617117,864.572507,840.576007,0
PS 40:2,843.598937,844.606217,861.632767,866.588157,842.591657,0
PS 40:1,845.614587,846.621867,863.648417,868.603807,844.607307,0
PS O-41:1,845.650972,846.658252,863.684802,868.640192,844.643692,0
PS 41:7,847.536337,848.543617,865.570167,870.525557,846.529057,0
PS O-42:7,847.572722,848.580002,865.606552,870.561942,846.565442,0
PS 40:0,847.630237,848.637517,865.664067,870.619457,846.622957,0
PS O-41:0,847.666622,848.673902,865.700452,870.655842,846.659342,0
PS 41:6,849.551987,850.559267,867.585817,872.541207,848.544707,0
PS O-42:6,849.588372,850.595652,867.622202,872.577592,848.581092,0
PS 41:5,851.567637,852.574917,869.601467,874.556857,850.560357,0
PS O-42:5,851.604022,852.611302,869.637852,874.593242,850.596742,0
PS 42:11,853.489387,854.496667,871.523217,876.478607,852.482107,0
PS 41:4,853.583287,854.590567,871.617117,876.572507,852.576007,0
PS O-42:4,853.619672,854.626952,871.653502,876.608892,852.612392,0
PS 42:10,855.505037,856.512317,873.538867,878.494257,854.497757,0
PS 41:3,855.598937,856.606217,873.632767,878.588157,854.591657,0
PS O-42:3,855.635322,856.642602,873.669152,878.624542,854.628042,0
